Date;Start;Duration;Count;Store
2026-03-16;8;4;1;484516
2026-03-16;12;4;1;704351
2026-03-16;12;12;1;897421
2026-03-17;8;4;1;484516
2026-03-17;12;4;1;704351
2026-03-17;12;12;1;897421
2026-03-18;8;4;1;484516
2026-03-18;12;4;1;704351
2026-03-18;12;12;1;897421
2026-03-19;8;4;1;484516
2026-03-19;12;4;1;704351
2026-03-19;12;12;1;897421
2026-03-20;8;4;1;484516
2026-03-20;12;4;1;704351
2026-03-20;12;12;1;897421
2026-03-21;8;4;1;484516
2026-03-21;12;4;1;704351
2026-03-21;12;12;1;897421
2026-03-22;8;4;1;484516
2026-03-22;12;4;1;704351
2026-03-22;12;12;1;897421
2026-03-23;8;4;1;484516
2026-03-23;12;4;1;704351
2026-03-23;12;12;1;897421
2026-03-24;8;4;1;484516
2026-03-24;12;4;1;704351
2026-03-24;12;12;1;897421
2026-03-25;8;4;1;484516
2026-03-25;12;4;1;704351
2026-03-25;12;12;1;897421
2026-03-26;8;4;1;484516
2026-03-26;12;4;1;704351
2026-03-26;12;12;1;897421
2026-03-27;8;4;1;484516
2026-03-27;12;4;1;704351
2026-03-27;12;12;1;897421
2026-03-28;8;4;1;484516
2026-03-28;12;4;1;704351
2026-03-28;12;12;1;897421
2026-03-29;8;4;1;484516
2026-03-29;12;4;1;704351
2026-03-29;12;12;1;897421
